team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
Batsmen,,Runs,Balls,SR,4s,6s
,Shane Watson,c Liam Plunkett b Amit Mishra,78,40,195.00,4,7
,Faf du Plessis,c Trent Boult b Vijay Shankar,33,33,100.00,3,1
,Suresh Raina,b Glenn Maxwell,1,2,50.00,0,0
,Ambati Rayudu,run out (Trent Boult),41,24,170.83,5,1
,MS Dhoni,NOT OUT,51,22,231.81,2,5
,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 1, w 3, b 1, lb 2, pen 0)|,7,,,,
TOTAL,(4 wickets; 20 overs),211,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Prithvi Shaw,c Ravindra Jadeja b KM Asif,9,5,180.00,2,0
,Colin Munro,c Karn Sharma b KM Asif,26,16,162.50,3,2
,Shreyas Iyer,run out (Shane Watson),13,14,92.85,1,0
,Rishabh Pant,c Ravindra Jadeja b Lungi Ngidi,79,45,175.55,7,4
,Glenn Maxwell,b Ravindra Jadeja,6,5,120.00,1,0
,Vijay Shankar,NOT OUT,54,31,174.19,1,5
,Rahul Tewatia,NOT OUT,3,4,75.00,0,0
EXTRAS,|(nb 0, w 6, b 0, lb 2, pen 0)|,8,,,,
TOTAL,(5 wickets; 20 overs),198,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Quinton de Kock,c Shubman Gill b Kuldeep Yadav,29,27,107.40,3,1
,Brendon McCullum,c Dinesh Karthik b Andre Russell,38,28,135.71,4,2
,Virat Kohli,NOT OUT,68,44,154.54,5,3
,Manan Vohra,b Andre Russell,0,1,0.00,0,0
,Mandeep Singh,c Shivam Mavi b Andre Russell,19,14,135.71,0,2
,Colin de Grandhomme,NOT OUT,11,6,183.33,0,1
EXTRAS,|(nb 0, w 5, b 1, lb 4, pen 0)|,10,,,,
TOTAL,(4 wickets; 20 overs),175,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Chris Lynn,NOT OUT,62,52,119.23,7,1
,Sunil Narine,c Colin de Grandhomme b Murugan Ashwin,27,19,142.10,3,1
,Robin Uthappa,c Tim Southee b Murugan Ashwin,36,21,171.42,3,3
,Nitish Rana,Retired,15,10,150.00,2,0
,Andre Russell,c Quinton de Kock b Mohammed Siraj,0,1,0.00,0,0
,Dinesh Karthik,c Virat Kohli b Mohammed Siraj,23,10,230.00,2,1
,Shubman Gill,NOT OUT,5,2,250.00,1,0
EXTRAS,|(nb 0, w 7, b 1, lb 0, pen 0)|,8,,,,
TOTAL,(4 wickets; 19.1 overs),176,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Alex Hales,c Sanju Samson b Krishnappa Gowtham,45,39,115.38,4,0
,Shikhar Dhawan,b Krishnappa Gowtham,6,4,150.00,1,0
,Kane Williamson,c Jos Buttler b Ish Sodhi,63,43,146.51,7,2
,Manish Pandey,c Ajinkya Rahane b Jaydev Unadkat,16,15,106.66,1,0
,Shakib Al Hasan,b Jofra Archer,6,6,100.00,1,0
,Yusuf Pathan,c Dhawal Kulkarni b Jofra Archer,2,3,66.66,0,0
,Wriddhiman Saha,NOT OUT,11,7,157.14,1,0
,Rashid Khan,c Ben Stokes b Jofra Archer,1,3,33.33,0,0
,Basil Thampi,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 0, w 0, b 1, lb 0, pen 0)|,1,,,,
TOTAL,(7 wickets; 20 overs),151,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Ajinkya Rahane,NOT OUT,65,53,122.64,5,1
,Rahul Tripathi,b Sandeep Sharma,4,5,80.00,0,0
,Sanju Samson,c Alex Hales b Siddarth Kaul,40,30,133.33,3,1
,Ben Stokes,b Yusuf Pathan,0,3,0.00,0,0
,Jos Buttler,c Shikhar Dhawan b Rashid Khan,10,11,90.90,0,0
,Mahipal Lomror,c Wriddhiman Saha b Siddarth Kaul,11,12,91.66,0,0
,Krishnappa Gowtham,c Shikhar Dhawan b Basil Thampi,8,5,160.00,1,0
,Jofra Archer,NOT OUT,1,1,100.00,0,0
EXTRAS,|(nb 0, w 0, b 0, lb 1, pen 0)|,1,,,,
TOTAL,(6 wickets; 20 overs),140,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Shane Watson,c Mayank Markande b Krunal Pandya,12,11,109.09,1,0
,Ambati Rayudu,c Ben Cutting b Krunal Pandya,46,35,131.42,2,4
,Suresh Raina,NOT OUT,75,47,159.57,6,4
,MS Dhoni,c Evin Lewis b Mitchell McClenaghan,26,21,123.80,3,1
team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
Batsmen,,Runs,Balls,SR,4s,6s
,Shane Watson,c Liam Plunkett b Amit Mishra,78,40,195.00,4,7
,Faf du Plessis,c Trent Boult b Vijay Shankar,33,33,100.00,3,1
,Suresh Raina,b Glenn Maxwell,1,2,50.00,0,0
,Ambati Rayudu,run out (Trent Boult),41,24,170.83,5,1
,MS Dhoni,NOT OUT,51,22,231.81,2,5
,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 1, w 3, b 1, lb 2, pen 0)|,7,,,,
TOTAL,(4 wickets; 20 overs),211,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Prithvi Shaw,c Ravindra Jadeja b KM Asif,9,5,180.00,2,0
,Colin Munro,c Karn Sharma b KM Asif,26,16,162.50,3,2
,Shreyas Iyer,run out (Shane Watson),13,14,92.85,1,0
,Rishabh Pant,c Ravindra Jadeja b Lungi Ngidi,79,45,175.55,7,4
,Glenn Maxwell,b Ravindra Jadeja,6,5,120.00,1,0
,Vijay Shankar,NOT OUT,54,31,174.19,1,5
,Rahul Tewatia,NOT OUT,3,4,75.00,0,0
EXTRAS,|(nb 0, w 6, b 0, lb 2, pen 0)|,8,,,,
TOTAL,(5 wickets; 20 overs),198,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Quinton de Kock,c Shubman Gill b Kuldeep Yadav,29,27,107.40,3,1
,Brendon McCullum,c Dinesh Karthik b Andre Russell,38,28,135.71,4,2
,Virat Kohli,NOT OUT,68,44,154.54,5,3
,Manan Vohra,b Andre Russell,0,1,0.00,0,0
,Mandeep Singh,c Shivam Mavi b Andre Russell,19,14,135.71,0,2
,Colin de Grandhomme,NOT OUT,11,6,183.33,0,1
EXTRAS,|(nb 0, w 5, b 1, lb 4, pen 0)|,10,,,,
TOTAL,(4 wickets; 20 overs),175,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Chris Lynn,NOT OUT,62,52,119.23,7,1
,Sunil Narine,c Colin de Grandhomme b Murugan Ashwin,27,19,142.10,3,1
,Robin Uthappa,c Tim Southee b Murugan Ashwin,36,21,171.42,3,3
,Nitish Rana,Retired,15,10,150.00,2,0
,Andre Russell,c Quinton de Kock b Mohammed Siraj,0,1,0.00,0,0
,Dinesh Karthik,c Virat Kohli b Mohammed Siraj,23,10,230.00,2,1
,Shubman Gill,NOT OUT,5,2,250.00,1,0
EXTRAS,|(nb 0, w 7, b 1, lb 0, pen 0)|,8,,,,
TOTAL,(4 wickets; 19.1 overs),176,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Alex Hales,c Sanju Samson b Krishnappa Gowtham,45,39,115.38,4,0
,Shikhar Dhawan,b Krishnappa Gowtham,6,4,150.00,1,0
,Kane Williamson,c Jos Buttler b Ish Sodhi,63,43,146.51,7,2
,Manish Pandey,c Ajinkya Rahane b Jaydev Unadkat,16,15,106.66,1,0
,Shakib Al Hasan,b Jofra Archer,6,6,100.00,1,0
,Yusuf Pathan,c Dhawal Kulkarni b Jofra Archer,2,3,66.66,0,0
,Wriddhiman Saha,NOT OUT,11,7,157.14,1,0
,Rashid Khan,c Ben Stokes b Jofra Archer,1,3,33.33,0,0
,Basil Thampi,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 0, w 0, b 1, lb 0, pen 0)|,1,,,,
TOTAL,(7 wickets; 20 overs),151,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Ajinkya Rahane,NOT OUT,65,53,122.64,5,1
,Rahul Tripathi,b Sandeep Sharma,4,5,80.00,0,0
,Sanju Samson,c Alex Hales b Siddarth Kaul,40,30,133.33,3,1
,Ben Stokes,b Yusuf Pathan,0,3,0.00,0,0
,Jos Buttler,c Shikhar Dhawan b Rashid Khan,10,11,90.90,0,0
,Mahipal Lomror,c Wriddhiman Saha b Siddarth Kaul,11,12,91.66,0,0
,Krishnappa Gowtham,c Shikhar Dhawan b Basil Thampi,8,5,160.00,1,0
,Jofra Archer,NOT OUT,1,1,100.00,0,0
EXTRAS,|(nb 0, w 0, b 0, lb 1, pen 0)|,1,,,,
TOTAL,(6 wickets; 20 overs),140,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Shane Watson,c Mayank Markande b Krunal Pandya,12,11,109.09,1,0
,Ambati Rayudu,c Ben Cutting b Krunal Pandya,46,35,131.42,2,4
,Suresh Raina,NOT OUT,75,47,159.57,6,4
,MS Dhoni,c Evin Lewis b Mitchell McClenaghan,26,21,123.80,3,1
,Dwayne Bravo,c Mayank Markande b Mitchell McClenaghan,0,1,0.00,0,0
,Sam Billings,c Ben Cutting b Hardik Pandya,3,5,60.00,0,0
,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 0, w 4, b 0, lb 3, pen 0)|,7,,,,
TOTAL,(5 wickets; 20 overs),169,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Suryakumar Yadav,c Ravindra Jadeja b Harbhajan Singh,44,34,129.41,5,1
,Evin Lewis,c Shardul Thakur b Dwayne Bravo,47,43,109.30,3,2
,Rohit Sharma,NOT OUT,56,33,169.69,6,2
,Hardik Pandya,NOT OUT,13,8,162.50,0,1
EXTRAS,|(nb 0, w 5, b 4, lb 1, pen 0)|,10,,,,
TOTAL,(2 wickets; 19.4 overs),170,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Prithvi Shaw,b Piyush Chawla,62,44,140.90,7,2
,Colin Munro,b Shivam Mavi,33,18,183.33,4,2
,Shreyas Iyer,NOT OUT,93,40,232.50,3,10
,Rishabh Pant,c Dinesh Karthik b Andre Russell,0,1,0.00,0,0
,Glenn Maxwell,run out (Shivam Mavi),27,18,150.00,1,2
,Vijay Shankar,NOT OUT,0,0,0.00,0,0
EXTRAS,|(nb 1, w 2, b 0, lb 1, pen 0)|,4,,,,
TOTAL,(4 wickets; 20 overs),219,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Chris Lynn,b Glenn Maxwell,5,6,83.33,1,0
,Sunil Narine,c Shreyas Iyer b Trent Boult,26,9,288.88,1,3
,Robin Uthappa,c Prithvi Shaw b Trent Boult,1,2,50.00,0,0
,Nitish Rana,c & b Avesh Khan,8,7,114.28,1,0
,Dinesh Karthik,c Trent Boult b Amit Mishra,18,18,100.00,0,1
,Shubman Gill,run out (Shreyas Iyer),37,29,127.58,3,1
,Andre Russell,b Avesh Khan,44,30,146.66,3,4
,Shivam Mavi,b Amit Mishra,0,3,0.00,0,0
,Piyush Chawla,c Colin Munro b Glenn Maxwell,2,4,50.00,0,0
,Mitchell Johnson,NOT OUT,12,6,200.00,2,0
,Kuldeep Yadav,NOT OUT,7,6,116.66,1,0
EXTRAS,|(nb 0, w 3, b 0, lb 1, pen 0)|,4,,,,
TOTAL,(9 wickets; 20 overs),164,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Shikhar Dhawan,c Karun Nair b Ankit Rajpoot,11,8,137.50,2,0
,Kane Williamson,c Ravichandran Ashwin b Ankit Rajpoot,0,3,0.00,0,0
,Wriddhiman Saha,c Andrew Tye b Ankit Rajpoot,6,9,66.66,1,0
,Manish Pandey,b Ankit Rajpoot,54,51,105.88,3,1
,Shakib Al Hasan,c Mayank Agarwal b Mujeeb Ur Rahman,28,29,96.55,3,0
,Yusuf Pathan,NOT OUT,21,19,110.52,1,1
,Mohammad Nabi,c Mayank Agarwal b Ankit Rajpoot,4,2,200.00,1,0
EXTRAS,|(nb 1, w 5, b 1, lb 1, pen 0)|,8,,,,
TOTAL,(6 wickets; 20 overs),132,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Lokesh Rahul,b Rashid Khan,32,26,123.07,4,1
,Chris Gayle,c & b Basil Thampi,23,22,104.54,1,2
,Mayank Agarwal,c Manish Pandey b Shakib Al Hasan,12,15,80.00,0,0
,Karun Nair,lbw Rashid Khan,13,17,76.47,0,0
,Aaron Finch,c Manish Pandey b Shakib Al Hasan,8,4,200.00,0,1
,Manoj Tiwary,c Kane Williamson b Sandeep Sharma,1,5,20.00,0,0
,Ravichandran Ashwin,c Kane Williamson b Rashid Khan,4,6,66.66,0,0
,Andrew Tye,lbw Sandeep Sharma,4,2,200.00,1,0
,Barinder Sran,run out (Wriddhiman Saha),2,5,40.00,0,0
,Ankit Rajpoot,b Basil Thampi,8,9,88.88,1,0
,Mujeeb Ur Rahman,NOT OUT,10,5,200.00,2,0
EXTRAS,|(nb 0, w 0, b 1, lb 1, pen 0)|,2,,,,
TOTAL,(All out; 19.2 overs),119,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Quinton de Kock,c & b Dwayne Bravo,53,37,143.24,1,4
,Virat Kohli,c Ravindra Jadeja b Shardul Thakur,18,15,120.00,3,0
