DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Prithvi Shaw,c & b Shreyas Gopal,47,25,188.00,4,4
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Colin Munro,c Jos Buttler b Dhawal Kulkarni,0,1,0.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Shreyas Iyer,c Rahul Tripathi b Jaydev Unadkat,50,35,142.85,3,3
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Rishabh Pant,c Ben Stokes b Jaydev Unadkat,69,29,237.93,7,5
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Glenn Maxwell,lbw Jofra Archer,5,5,100.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Vijay Shankar,c Rahul Tripathi b Jaydev Unadkat,17,6,283.33,2,1
DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B,,Liam Plunkett,NOT OUT,1,2,50.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,D'Arcy Short,c Avesh Khan b Glenn Maxwell,44,25,176.00,2,4
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Jos Buttler,st Rishabh Pant b Amit Mishra,67,26,257.69,4,7
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Sanju Samson,c Colin Munro b Trent Boult,3,5,60.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Ben Stokes,c Avesh Khan b Trent Boult,1,2,50.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Rahul Tripathi,run out (Rishabh Pant/Trent Boult),9,8,112.50,1,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Krishnappa Gowtham,NOT OUT,18,6,300.00,2,1
RAJASTHAN ROYALS INNINGS (RUN RATE: 12.16),Match 32,B,,Jofra Archer,NOT OUT,0,0,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Manan Vohra,lbw Mayank Markande,45,31,145.16,2,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Quinton de Kock,c Rohit Sharma b Mitchell McClenaghan,7,13,53.84,1,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Brendon McCullum,run out (Hardik Pandya),37,25,148.00,4,2
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Virat Kohli,c Kieron Pollard b Hardik Pandya,32,26,123.07,2,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Mandeep Singh,c Suryakumar Yadav b Hardik Pandya,14,10,140.00,1,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Colin de Grandhomme,NOT OUT,23,10,230.00,0,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Washington Sundar,c Rohit Sharma b Hardik Pandya,1,3,33.33,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Tim Southee,c Ben Cutting b Jasprit Bumrah,1,2,50.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.35),Match 31,B,,Umesh Yadav,NOT OUT,1,2,50.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Suryakumar Yadav,lbw Umesh Yadav,9,9,100.00,2,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Ishan Kishan,b Tim Southee,0,1,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,JP Duminy,run out (Umesh Yadav),23,29,79.31,3,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Rohit Sharma,c Quinton de Kock b Umesh Yadav,0,1,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Kieron Pollard,c Quinton de Kock b Mohammed Siraj,13,13,100.00,1,0
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Hardik Pandya,c Virat Kohli b Tim Southee,50,42,119.04,5,1
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Krunal Pandya,c Mandeep Singh b Mohammed Siraj,23,19,121.05,1,1
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Ben Cutting,NOT OUT,12,6,200.00,1,1
MUMBAI INDIANS INNINGS (RUN RATE: 7.65),Match 31,B,,Mitchell McClenaghan,NOT OUT,0,0,0.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,Shane Watson,c Liam Plunkett b Amit Mishra,78,40,195.00,4,7
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,Faf du Plessis,c Trent Boult b Vijay Shankar,33,33,100.00,3,1
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,Suresh Raina,b Glenn Maxwell,1,2,50.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,Ambati Rayudu,run out (Trent Boult),41,24,170.83,5,1
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,MS Dhoni,NOT OUT,51,22,231.81,2,5
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.55),Match 30,B,,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Prithvi Shaw,c Ravindra Jadeja b KM Asif,9,5,180.00,2,0
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Colin Munro,c Karn Sharma b KM Asif,26,16,162.50,3,2
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Shreyas Iyer,run out (Shane Watson),13,14,92.85,1,0
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Rishabh Pant,c Ravindra Jadeja b Lungi Ngidi,79,45,175.55,7,4
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Glenn Maxwell,b Ravindra Jadeja,6,5,120.00,1,0
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Vijay Shankar,NOT OUT,54,31,174.19,1,5
DELHI DAREDEVILS INNINGS (RUN RATE: 9.90),Match 30,B,,Rahul Tewatia,NOT OUT,3,4,75.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Quinton de Kock,c Shubman Gill b Kuldeep Yadav,29,27,107.40,3,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Brendon McCullum,c Dinesh Karthik b Andre Russell,38,28,135.71,4,2
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Virat Kohli,NOT OUT,68,44,154.54,5,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Manan Vohra,b Andre Russell,0,1,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Mandeep Singh,c Shivam Mavi b Andre Russell,19,14,135.71,0,2
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,B,,Colin de Grandhomme,NOT OUT,11,6,183.33,0,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Chris Lynn,NOT OUT,62,52,119.23,7,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Sunil Narine,c Colin de Grandhomme b Murugan Ashwin,27,19,142.10,3,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Robin Uthappa,c Tim Southee b Murugan Ashwin,36,21,171.42,3,3
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Nitish Rana,Retired,15,10,150.00,2,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Andre Russell,c Quinton de Kock b Mohammed Siraj,0,1,0.00,0,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Dinesh Karthik,c Virat Kohli b Mohammed Siraj,23,10,230.00,2,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,B,,Shubman Gill,NOT OUT,5,2,250.00,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Alex Hales,c Sanju Samson b Krishnappa Gowtham,45,39,115.38,4,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Shikhar Dhawan,b Krishnappa Gowtham,6,4,150.00,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Kane Williamson,c Jos Buttler b Ish Sodhi,63,43,146.51,7,2
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Manish Pandey,c Ajinkya Rahane b Jaydev Unadkat,16,15,106.66,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Shakib Al Hasan,b Jofra Archer,6,6,100.00,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Yusuf Pathan,c Dhawal Kulkarni b Jofra Archer,2,3,66.66,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Wriddhiman Saha,NOT OUT,11,7,157.14,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Rashid Khan,c Ben Stokes b Jofra Archer,1,3,33.33,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,B,,Basil Thampi,NOT OUT,0,0,0.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Ajinkya Rahane,NOT OUT,65,53,122.64,5,1
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Rahul Tripathi,b Sandeep Sharma,4,5,80.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Sanju Samson,c Alex Hales b Siddarth Kaul,40,30,133.33,3,1
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Ben Stokes,b Yusuf Pathan,0,3,0.00,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Jos Buttler,c Shikhar Dhawan b Rashid Khan,10,11,90.90,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Mahipal Lomror,c Wriddhiman Saha b Siddarth Kaul,11,12,91.66,0,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Krishnappa Gowtham,c Shikhar Dhawan b Basil Thampi,8,5,160.00,1,0
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,B,,Jofra Archer,NOT OUT,1,1,100.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Shane Watson,c Mayank Markande b Krunal Pandya,12,11,109.09,1,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Ambati Rayudu,c Ben Cutting b Krunal Pandya,46,35,131.42,2,4
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Suresh Raina,NOT OUT,75,47,159.57,6,4
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,MS Dhoni,c Evin Lewis b Mitchell McClenaghan,26,21,123.80,3,1
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Dwayne Bravo,c Mayank Markande b Mitchell McClenaghan,0,1,0.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Sam Billings,c Ben Cutting b Hardik Pandya,3,5,60.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,B,,Ravindra Jadeja,NOT OUT,0,0,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,B
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,B,,Suryakumar Yadav,c Ravindra Jadeja b Harbhajan Singh,44,34,129.41,5,1
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,B,,Evin Lewis,c Shardul Thakur b Dwayne Bravo,47,43,109.30,3,2
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,B,,Rohit Sharma,NOT OUT,56,33,169.69,6,2
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,B,,Hardik Pandya,NOT OUT,13,8,162.50,0,1
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Prithvi Shaw,b Piyush Chawla,62,44,140.90,7,2
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Colin Munro,b Shivam Mavi,33,18,183.33,4,2
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Shreyas Iyer,NOT OUT,93,40,232.50,3,10
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Rishabh Pant,c Dinesh Karthik b Andre Russell,0,1,0.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Glenn Maxwell,run out (Shivam Mavi),27,18,150.00,1,2
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,B,,Vijay Shankar,NOT OUT,0,0,0.00,0,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Chris Lynn,b Glenn Maxwell,5,6,83.33,1,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Sunil Narine,c Shreyas Iyer b Trent Boult,26,9,288.88,1,3
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Robin Uthappa,c Prithvi Shaw b Trent Boult,1,2,50.00,0,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Nitish Rana,c & b Avesh Khan,8,7,114.28,1,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Dinesh Karthik,c Trent Boult b Amit Mishra,18,18,100.00,0,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Shubman Gill,run out (Shreyas Iyer),37,29,127.58,3,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Andre Russell,b Avesh Khan,44,30,146.66,3,4
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Shivam Mavi,b Amit Mishra,0,3,0.00,0,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Piyush Chawla,c Colin Munro b Glenn Maxwell,2,4,50.00,0,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Mitchell Johnson,NOT OUT,12,6,200.00,2,0
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,B,,Kuldeep Yadav,NOT OUT,7,6,116.66,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Shikhar Dhawan,c Karun Nair b Ankit Rajpoot,11,8,137.50,2,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Kane Williamson,c Ravichandran Ashwin b Ankit Rajpoot,0,3,0.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Wriddhiman Saha,c Andrew Tye b Ankit Rajpoot,6,9,66.66,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Manish Pandey,b Ankit Rajpoot,54,51,105.88,3,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Shakib Al Hasan,c Mayank Agarwal b Mujeeb Ur Rahman,28,29,96.55,3,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Yusuf Pathan,NOT OUT,21,19,110.52,1,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,B,,Mohammad Nabi,c Mayank Agarwal b Ankit Rajpoot,4,2,200.00,1,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Lokesh Rahul,b Rashid Khan,32,26,123.07,4,1
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Chris Gayle,c & b Basil Thampi,23,22,104.54,1,2
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Mayank Agarwal,c Manish Pandey b Shakib Al Hasan,12,15,80.00,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Karun Nair,lbw Rashid Khan,13,17,76.47,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Aaron Finch,c Manish Pandey b Shakib Al Hasan,8,4,200.00,0,1
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Manoj Tiwary,c Kane Williamson b Sandeep Sharma,1,5,20.00,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Ravichandran Ashwin,c Kane Williamson b Rashid Khan,4,6,66.66,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Andrew Tye,lbw Sandeep Sharma,4,2,200.00,1,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Barinder Sran,run out (Wriddhiman Saha),2,5,40.00,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Ankit Rajpoot,b Basil Thampi,8,9,88.88,1,0
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,B,,Mujeeb Ur Rahman,NOT OUT,10,5,200.00,2,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Quinton de Kock,c & b Dwayne Bravo,53,37,143.24,1,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Virat Kohli,c Ravindra Jadeja b Shardul Thakur,18,15,120.00,3,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,AB de Villiers,c Sam Billings b Imran Tahir,68,30,226.66,2,8
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Corey Anderson,c Harbhajan Singh b Imran Tahir,2,8,25.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Mandeep Singh,c Ravindra Jadeja b Shardul Thakur,32,17,188.23,1,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Colin de Grandhomme,run out (MS Dhoni),11,7,157.14,1,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Pawan Negi,run out (Ravindra Jadeja),0,1,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Washington Sundar,NOT OUT,13,4,325.00,1,1
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Umesh Yadav,c Sam Billings b Dwayne Bravo,0,1,0.00,0,0
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,B,,Mohammed Siraj,NOT OUT,0,0,0.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Shane Watson,c Mohammed Siraj b Pawan Negi,7,4,175.00,0,1
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Ambati Rayudu,run out (Umesh Yadav),82,53,154.71,3,8
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Suresh Raina,c Mandeep Singh b Umesh Yadav,11,9,122.22,2,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Sam Billings,st Quinton de Kock b Yuzvendra Chahal,9,7,128.57,2,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Ravindra Jadeja,b Yuzvendra Chahal,3,5,60.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,MS Dhoni,NOT OUT,70,34,205.88,1,7
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Dwayne Bravo,NOT OUT,14,7,200.00,1,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Shikhar Dhawan,b Mitchell McClenaghan,5,6,83.33,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Kane Williamson,c Ishan Kishan b Hardik Pandya,29,21,138.09,5,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Wriddhiman Saha,c Ishan Kishan b Mitchell McClenaghan,0,2,0.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Manish Pandey,c Rohit Sharma b Hardik Pandya,16,11,145.45,3,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Shakib Al Hasan,run out (Suryakumar Yadav),2,4,50.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Yusuf Pathan,c Hardik Pandya b Mustafizur Rahman,29,33,87.87,2,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Mohammad Nabi,b Mayank Markande,14,10,140.00,2,0
